Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. § 40:1135.8","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-40-sect-1300-13.html","Ineligible to provide air ambulance services","1","(A),(C)(3)
","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 19:VII.7707","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for co-investment commitment from Louisiana Seed Capital Program (conviction of management team members)","1","(A)
(C)(1)
Note","","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 19:VII.7709","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for match investment commitment from Louisiana Seed Capital Program (conviction of management team members)","1","(A)
(C)(1)
Note","","","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 22:I.316","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to visit offenders in prison","1","(G)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 55:III.1921","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke special identification card","1","(A)(7)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"La. R.S.§ 23:291.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-23-sect-291-1.html","Null/void certificate of employability","1","(B)(2), (C)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","","Any felony","Mandatory/Automatic","Indefinite"
"La. C.C.P. Art. 3097","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible to serve as testamentary executor","1","(A)(3),(6)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Mandatory/Automatic","Indefinite"
"La. C.C.P. Art. 4561","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible for appointment as curator","1","(A)
(B)(2)(a)","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Discretionary (waiver)","Indefinite"
"La. C.Cr.P. Art. 401","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Ineligible to serve as juror","1","(A)(5)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Jury service","Any felony","Mandatory/Automatic","Indefinite"
"La. C.Cr.P. Art. 855.1","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Grant new trial for prostitution offenses of human trafficking victim (relief)","0","All","See also:_x000D_
La. C.Cr.P. Art. 851","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. C.Cr.P. Art. 894.3","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Notify victim of sex offender's conviction prior to sentencing","1","All","Additional offense details:
La. R.S. 15:541(24)(a)","","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. C.Cr.P. Art. 926","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Application process for post-conviction relief","0","All","See also:
La. C.Cr.P. Art. 924(1)
La. C.Cr.P. Art. 926.1(A)(1)
La. C.Cr.P. Art. 930.3","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Civil litigation & administrative proceedings","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. C.Cr.P. Art. 977","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Expunge records of misdemeanor conviction (relief)","0","(A)-(C) ","See also:_x000D_
La. C.Cr.P. Art. 973_x000D_
La. C.Cr.P. Art. 975_x000D_
La. C.Cr.P. Art. 983_x000D_
La. C.Cr.P. Art. 984","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. C.Cr.P. Art. 978","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Expunge records of felony conviction (relief)","0","(A)-(C ), (E )","See also:_x000D_
La. C.Cr.P. Art. 973_x000D_
La. C.Cr.P. Art. 975_x000D_
La. C.Cr.P. Art. 983_x000D_
La. C.Cr.P. Art. 984_x000D_
","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. C.E. Art. 803","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Enter judgment of previous conviction into evidence at trial","1","22","","","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Judicial evidence & witnesses","Any felony","Discretionary","Indefinite"
"La. Ch.C. Art. 1131","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Background check to become adoptive parent","1","(E)(1)","See also:
La. Ch.C. Art. 1178(A), (B)","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. Ch.C. Art. 1173","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Background check for preplacement approval to become adoptive parent in private adoption","1","(B)","See also:
La. Ch.C. Art. 1177(A)
La. Ch.C. Art. 1177(B)(1)
La. Ch.C. Art. 1178(F)(1)
La. Ch.C. Art. 1230(A)
La. Ch.C. Art. 1230(B)(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. Ch.C. Art. 424.1","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Background check to be court-appointed special advocate volunteer","1","(D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Lawyers, judges & advocates","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. Ch.C. Art. 523","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Background check for employment with child advocacy center","1","(D)(2)","See also:
La. Ch.C. Art. 521","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Lawyers, judges & advocates","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. Ch.C. Art. 918","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Expunge juvenile felony criminal conviction (five years from satisfaction of the most recent judgment) (relief)","0","(C)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. Ch.C. Art. 918","https://legis.la.gov/legis/Laws_Toc.aspx?folder=68&level=Parent","Expunge juvenile misdemeanor criminal conviction (two years from satisfaction of the most recent judgment) (relief)","0","(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. Const. Art. I,§ 10","http://senate.legis.state.la.us/documents/constitution/","Ineligible to vote","1","(A)","See also:_x000D_
La. R.S. 18:2(8)_x000D_
La. R.S. 14:370_x000D_
La. R.S. 18:102_x000D_
La. R.S. 18:1303_x000D_
LAC 31:II.307_x000D_
LAC 48:IX.509","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Time-limited"
"La. Const. Art. IV,§ 5","http://senate.legis.state.la.us/documents/constitution/","Grant pardon/commutation/reprieve/remission (relief)","0","(E)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. Const. Art. XIV,§ 15.1","http://senate.legis.state.la.us/documents/constitution/","Discharge from civil service employment","1","(30)(a)(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Any felony","Discretionary","Indefinite"
"La. Cts. App. Unif. R. APPENDIX A","http://senate.legis.state.la.us/documents/constitution/","Grant post-conviction relief (appellate courts)(relief)","0","All","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S.§ 14:95.10","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-95-10.html","Ineligible to possess firearm/concealed weapon","1","All","Additional offense details:
La. R.S.§ 14:35.3(A), (J)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'","Mandatory/Automatic","Time-limited"
"La. R.S.§ 30:2531","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-30-sect-2531.html","Suspend driver's license (third or subsequent conviction for littering offenses)","1","(A)(1)
(A)(2)(c)
(A)(3)(c)","Other triggering offenses:
Offenses related to littering","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Discretionary","Time-limited"
"La. R.S.§ 30:2531.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-30-sect-2531-1.html","Suspend driver's license (third or subsequent conviction for gross littering)","1","(A)
(D)(3)","Other triggering offenses:
Offenses related to gross littering","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Discretionary","Time-limited"
"La. R.S.§ 32:408","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-32-sect-408.html","Ineligible for waiver of commercial driver's license skills test","1","(A)(5)(a)","Additional offense details:
La. R.S. 32:414.2(A)(1)(a), (d), (e)
La. R.S. 32:414.2(A)(2)-(5)","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles","Motor vehicle offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 11:292","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-11-sect-292.html","Forfeit pension/retirement allowance/retirement benefit/refund of accumulated contributions under public pension/public retirement system/plan/fund to pay restitution/fine/costs of incarceration/probation/parole","1","(B)(1)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Retirement & pensions","Public corruption offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 13:3431","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-13-sect-3431.html","Ineligible to be appointed as curator for an absent person","1","3","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Trusts, estates & guardianship","Any felony","Mandatory/Automatic","Indefinite"
"La. R.S. 14:118","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-118.html","Forfeit property given/offered/accepted during commission of public bribery offense","1","(A), (B)
(D)(1)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Real estate & property","Public corruption offenses","Discretionary","Indefinite"
"La. R.S. 14:283","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-283.html","Register as a sex offender (conviction for video voyeurism)","1","(A), (F)","Additional offense details:
La. R.S. 15:541(24)

See also:
La. R.S. 15:542(A)(1)
La. R.S. 15:542(B)
La. R.S. 15:542(C)(1)
La. R.S. 15:542(D)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 14:335","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-335.html","Impose civil penalty (conviction of merchant for requiring certain information to be recorded on a check accepted for payment/cashing)","1","All","Other triggering offenses:
Offenses related to illegally requiring customer's ethnic race information to be recorded on personal check","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Sales & service (general)","Other","Discretionary","Indefinite"
"La. R.S. 14:80.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-80-1.html","Set-aside conviction for misdemeanor carnal knowledge of a juvenile (relief)","0","(A), (B), (E), (F)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 14:90.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-90-1.html","Issue preclusion/collateral estoppel for denying essential facts of property used in commission of gambling offense in subsequent civil proceedings","1","(B)(1)
(C)(1)
(E)","Additional offense details:
La. R.S. 14:90
La. R.S. 14:90.2
La. R.S. 14:90.3
La. R.S. 14:90.6

Other triggering offenses:
Offenses related to gambling","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 14:93.13","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-93-13.html","Suspend driver's license (purchaser of alcoholic beverages on behalf of a minor)","1","(A), (B)","Other triggering offenses:
Offenses related to purchasing alcoholic beverages on behalf of minor
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Motor vehicle licensure (non-commercial)","Driving & noncommercial motor vehicles","Other","Discretionary","Time-limited"
"La. R.S. 14:95.2","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-95-2.html","Set-aside conviction of school official for failure to report detention of student/seizure of firearm/concealed weapons to law enforcement (relief)","0","(A)
(F)(2)(a)
(G)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 14:95.9","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-95-9.html","Set-aside conviction of school official for failure to report detention of student/seizure of body armor to law enforcement (relief)","0","(A)
(F)(2)
(G)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 15:1093","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-1093.html","Impose special costs in any parish with a juvenile detention center","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Any felony","Discretionary","Indefinite"
"La. R.S. 15:147","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-147.html","Administer post-conviction DNA testing for indigent defendants (relief)","0","(A)
(B)(14)","See also:
La. C.Cr.P. Art. 926.1(A), (K)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Civil litigation & administrative proceedings","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 15:571.44","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-571-44.html","Set-aside conviction/discharge from supervision (upon completion of job intervention program) (relief)","0","(A)
(D)(1)
(E)(3)
(F)
(G)(1)","See also:
La. R.S. 15:571.43
La. R.S. 15:571.49(A)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Dismissal, set-aside, vacatur & offense reduction","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 15:572","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-572.html","Pardon sentence (relief)","0","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 15:572.9","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-572-9.html","Pardon conviction for violating laws designed to maintain/enforce segregation (relief)","0","(B)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Pardon & executive relief","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check for state fire marshal license","1","(A)(1)(a)","","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Emergency services, management & fire","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check to serve as employee with office of motor vehicles involved with the issuance of commercial driver's licenses/handling/processing transactions/inquiries","1","(A)(1)(e)(iii), (v)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check to sit for state bar examination","1","(A)(1)(g)(i), (ii)
(B)(1)","","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Lawyers, judges & advocates","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check to become adoptive/foster parent","1","(A)(2)(a), (b), (d)","See also:
La. R.S. 15:576","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check for private-sector employment","1","(F)(1)
(F)(2)(a)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","General business & occupational license restrictions (various unrelated licenses)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check for public housing","1","(G)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Housing & residency","Housing benefits & programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check to serve in Volunteer Commission/AmeriCorps programs","1","(H)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Fundraising, charities & nonprofits","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587-3.html","Background check to serve as employee/volunteer with youth service organization","2","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587.4","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587-4.html","Background check to serve as an employee/volunteer with municipal/parish/district fire department","2","(A), (C)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Emergency services, management & fire","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:588","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-588.html","Correct factually incorrect record of criminal history (relief)","0","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Expungement, sealing & criminal record access restrictions","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"La. R.S. 17:4001","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-17-sect-4001.html","Ineligible for approval of loan portion of charter school budget proposal (conviction of any principal to the proposal)","1","(C)(1), (4)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Government loans & grants","Education & schools","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 18:1300.31","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-1300-31.html","Ineligible to serve as chairman/vice chairman of petition for neighborhood crime prevention and security district","2","(A)(6)","Relief:
La. R.S. 18:177

See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Private security, investigation & locksmiths","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 18:565","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-18-sect-565.html","Ineligible to challenge qualifications of voter","1","(A)","Relief:
La. R.S. 18:177

See also:
La. Const. Art. I,§ 10(A)
La. R.S. 18:102(A)(1)
La. R.S. 18:102(B)
La. R.S. 18:2(8)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Civil rights & voting","Any felony","Mandatory/Automatic","Time-limited"
"La. R.S. 22:13","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-13.html","Suspend/revoke insurance license","1","All","Additional offense details:
La. R.S. 22:1 et seq.

Other triggering offenses:
Offenses related to insurance","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Other","Mandatory/Automatic","Indefinite"
"La. R.S. 22:1546","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1546.html","Background check for resident insurance producer license","1","(D)","","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 22:1695","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1695.html","Ineligible for public adjuster license (resident)","1","(B)(3)","Background check:
La. R.S. 22:1694","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 22:1698","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1698.html","Ineligible for public adjusters license (nonresident)","1","(A)(5)","Background check:
La. R.S. 22:1694","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 22:1801","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1801.html","Ineligible for employment with viatical settlement business (insurance)","1","(A)(3)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 22:1931.5","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-1931-5.html","Impose civil monetary penalty for insurance fraud conviction","1","(A)(1),(4)","Additional offense details:
La. R.S. 22:1924","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"La. R.S. 22:2069","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-2069.html","Suspend/revoke insurance license (second offense/improper advertisements)","1","All","Other triggering offenses:
Offenses related to improper insurance advertisements","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Other","Discretionary","Indefinite"
"La. R.S. 22:485","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-485.html","Ineligible to serve as officer/director of a risk retention group domiciled in the state","1","5","Waiver:
18 USC 1033","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Insurance sales & services","Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"La. R.S. 22:987","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-22-sect-987.html","Revoke foreign/alien insurer/agent license","2","All","Additional offense details:
La. R.S. 22:971 et seq.

Other triggering offenses:
Offenses related to health and accident insurance coverage","Links may point to unofficial sources where direct linking to official sources is unavailable.

See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Insurance sales & services","Other","Discretionary","Indefinite"
