Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 13:985.2","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-13-sect-985-2.html","Impose indigent transcript fund tax in Thirty-Eighth Judicial District","1","(C)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"La. R.S. 13:996.35","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-13-sect-996-35.html","Impose additional sheriffs' fee in parish of Iberia/St. Landry","1","All","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Civil fines, liability, forfeiture & property rights","Civil litigation & administrative proceedings","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"La. R.S. 14:313","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-313.html","Ineligible to wear a hood/mask/disguise to conceal identity during Halloween/Mardi Gras/Easter/Christmas/other holiday (sex offense conviction)","1","(A), (C), (E)","Additional offense details:
La. R.S. 24:932(3)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 14:313.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-313-1.html","Ineligible to distribute candy/gifts to children on enumerated public holidays (sex offense conviction)","1","All","Additional offense details:
La. R.S. 24:932(3)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 14:81.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-81-3.html","Register as a sex offender (conviction for computer aided solicitation of a minor)","1","(A), (I)","Additional offense details:
La. R.S. 14:2(B)
La. R.S. 15:541(24)
La. R.S. 15:542(A)(1)
La. R.S. 15:542(B)
La. R.S. 15:542(C)(1)
La. R.S. 15:542(D)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 14:89.2","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-89-2.html","Register as sex offender (conviction for crime against nature/solicitation of a person under eighteen years)","1","(A)
(B)(3)
(C)","Additional offense details:
La. R.S. 15:541(24)
La. R.S. 15:542(A)(1)
La. R.S. 15:542(B)
La. R.S. 15:542(C)(1)
La. R.S. 15:542(D)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 14:91.5","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-14-sect-91-5.html","Ineligible to use social networking website","1","(A)","Additional offense details:
La. R.S. 14:81
La. R.S. 14:81.1
La. R.S. 14:81.3
La. R.S. 14:283
La. R.S. 15:541","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public utilities & mail","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:1353","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-1353.html","Issue preclusion/collateral estoppel from arguing essential elements of drug racketeering conviction in subsequent/related civil proceedings","1","All","Additional offense details:
La. R.S. 15:1353

Other triggering offenses:
Offenses related to drug racketeering","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Judicial Rights","Civil litigation & administrative proceedings","Controlled substances offenses|Other","Mandatory/Automatic","Indefinite"
"La. R.S. 15:542","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-542.html","Register as a sex offender (initial registrations)","1","All","Additional offense details:
La. R.S. 15:541(12), (24)

Relief:
La. R.S. 15:544(E)
La. R.S. 15:544(F)(2)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Time-limited"
"La. R.S. 15:542.1.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-542-1-1.html","Register as a sex offender (in-person periodic registration renewal)","1","All","Additional offense details:
La. R.S. 15:541(2), (24), (25)
La. R.S. 15:542(A)

Relief:
La. R.S. 15:544(E)
La. R.S. 15:544(F)(2)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Time-limited"
